2025-09-11 18:40:59.578 | ERROR    | bot.data:fetch_bars:93 - ❌ Alpaca API error: {"message": "too many requests."}

2025-09-11 18:40:59.578 | WARNING  | bot.multi_timeframe:analyze_symbol_multi_tf:59 - ⚠️ GLD 5Min: Datos insuficientes
2025-09-11 18:41:02.585 | WARNING  | bot.position_monitor:_get_current_price:322 - ⚠️ Error obteniendo precio de XLV: {"message": "too many requests."}

2025-09-11 18:41:02.585 | INFO     | bot.position_monitor:monitor_closed_positions:628 - 🔄 🕐 CIERRE FORZADO: 296min ≥ 75.0min. Cerrando long en XLV @ $138.14 | P&L: $-4.59 (-0.11%)
2025-09-11 18:41:02.741 | WARNING  | bot.execution:close_position:406 - 🚫 PDT RESTRICTION: XLV - No se puede cerrar posición del mismo día (cuenta < $25k)
2025-09-11 18:41:02.743 | WARNING  | bot.position_monitor:_close_position:666 - ⏳ STOCK XLV: Cierre bloqueado (probablemente PDT) - esperando hasta mañana
2025-09-11 18:41:04.486 | INFO     | bot.multi_timeframe:_calculate_multi_tf_signal:114 - 🎯 GLD Multi-TF: base=-0.054, confirm=0.60, final=-0.032 (DÉBIL)
2025-09-11 18:41:04.488 | INFO     | bot.multi_timeframe:parallel_multi_timeframe_analysis:245 - ✅ GLD Multi-TF: -0.032 (DÉBIL)
2025-09-11 18:41:12.809 | INFO     | bot.position_monitor:monitor_closed_positions:384 - 👁️ Monitoreando 21 posiciones abiertas...
2025-09-11 18:41:12.899 | ERROR    | bot.liquidity_unlocker:check_and_unlock_liquidity:527 - ❌ Error en liquidity unlock: name 'trading_client' is not defined
2025-09-11 18:41:13.194 | ERROR    | bot.data:fetch_bars:93 - ❌ Alpaca API error: {"message": "too many requests."}

2025-09-11 18:41:13.194 | WARNING  | bot.multi_timeframe:analyze_symbol_multi_tf:59 - ⚠️ VEA 4Hour: Datos insuficientes
2025-09-11 18:41:13.195 | INFO     | bot.multi_timeframe:_calculate_multi_tf_signal:114 - 🎯 VEA Multi-TF: base=+0.174, confirm=1.35, final=+0.235 (ACEPTABLE)
2025-09-11 18:41:13.197 | INFO     | bot.multi_timeframe:parallel_multi_timeframe_analysis:245 - ✅ VEA Multi-TF: +0.235 (ACEPTABLE)
2025-09-11 18:41:16.325 | ERROR    | bot.data:fetch_bars:93 - ❌ Alpaca API error: {"message": "too many requests."}

2025-09-11 18:41:16.329 | WARNING  | bot.multi_timeframe:analyze_symbol_multi_tf:59 - ⚠️ SHIB/USD 5Min: Datos insuficientes
2025-09-11 18:41:18.998 | INFO     | bot.position_monitor:monitor_closed_positions:628 - 🔄 🕐 CIERRE FORZADO: 283min ≥ 75.0min. Cerrando long en AAPL @ $227.74 | P&L: $-3.13 (-0.21%)
2025-09-11 18:41:19.152 | WARNING  | bot.execution:close_position:406 - 🚫 PDT RESTRICTION: AAPL - No se puede cerrar posición del mismo día (cuenta < $25k)
2025-09-11 18:41:19.155 | WARNING  | bot.position_monitor:_close_position:666 - ⏳ STOCK AAPL: Cierre bloqueado (probablemente PDT) - esperando hasta mañana
2025-09-11 18:41:21.845 | ERROR    | bot.data:fetch_bars:93 - ❌ Alpaca API error: {"message": "too many requests."}
