number,value,datetime_start,datetime_complete,duration,params_max_gross_exposure,params_risk_per_trade,params_stop_loss_pct,params_take_profit_pct,user_attrs_final_equity,user_attrs_max_drawdown,user_attrs_num_trades,user_attrs_win_rate,state
0,0.0,2025-08-20 07:14:10.471103,2025-08-20 07:15:18.570272,0 days 00:01:08.099169,2.6,0.004,0.02,0.025,100000.0,0.0,0,0.0,COMPLETE
1,0.0,2025-08-20 07:15:18.576804,2025-08-20 07:16:24.752015,0 days 00:01:06.175211,2.1,0.016,0.02,0.01,100000.0,0.0,0,0.0,COMPLETE
2,0.0,2025-08-20 07:16:24.755163,2025-08-20 07:17:38.140819,0 days 00:01:13.385656,1.4,0.013000000000000001,0.015,0.045,100000.0,0.0,0,0.0,COMPLETE
3,0.0,2025-08-20 07:17:38.142132,2025-08-20 07:18:44.839472,0 days 00:01:06.697340,2.4000000000000004,0.005,0.025,0.04,100000.0,0.0,0,0.0,COMPLETE
4,0.0,2025-08-20 07:18:44.840958,2025-08-20 07:19:50.287233,0 days 00:01:05.446275,2.6,0.012,0.01,0.034999999999999996,100000.0,0.0,0,0.0,COMPLETE
5,0.0,2025-08-20 07:19:50.288905,2025-08-20 07:21:00.060235,0 days 00:01:09.771330,2.0,0.016,0.03,0.01,100000.0,0.0,0,0.0,COMPLETE
6,0.0,2025-08-20 07:21:00.061394,2025-08-20 07:22:10.545381,0 days 00:01:10.483987,1.6,0.015,0.01,0.049999999999999996,100000.0,0.0,0,0.0,COMPLETE
7,0.0,2025-08-20 07:22:10.546542,2025-08-20 07:23:17.376307,0 days 00:01:06.829765,2.1,0.010000000000000002,0.015,0.015,100000.0,0.0,0,0.0,COMPLETE
8,0.0,2025-08-20 07:23:17.377969,2025-08-20 07:24:26.782411,0 days 00:01:09.404442,1.4,0.007,0.025,0.025,100000.0,0.0,0,0.0,COMPLETE
9,0.0,2025-08-20 07:24:26.783741,2025-08-20 07:25:25.932209,0 days 00:00:59.148468,2.5,0.015,0.005,0.025,100000.0,0.0,0,0.0,COMPLETE
10,0.0,2025-08-20 07:25:25.933555,2025-08-20 07:26:25.581042,0 days 00:00:59.647487,2.9000000000000004,0.001,0.02,0.02,100000.0,0.0,0,0.0,COMPLETE
11,0.0,2025-08-20 07:26:25.582488,2025-08-20 07:27:24.820431,0 days 00:00:59.237943,2.0,0.019000000000000003,0.02,0.005,100000.0,0.0,0,0.0,COMPLETE
12,0.0,2025-08-20 07:27:24.822391,2025-08-20 07:28:24.485995,0 days 00:00:59.663604,1.0,0.02,0.025,0.030000000000000002,100000.0,0.0,0,0.0,COMPLETE
13,0.0,2025-08-20 07:28:24.487314,2025-08-20 07:29:23.900930,0 days 00:00:59.413616,2.9000000000000004,0.002,0.02,0.005,100000.0,0.0,0,0.0,COMPLETE
14,0.0,2025-08-20 07:29:23.902170,2025-08-20 07:30:22.635789,0 days 00:00:58.733619,2.2,0.008,0.03,0.015,100000.0,0.0,0,0.0,COMPLETE
15,0.0,2025-08-20 07:30:22.637053,2025-08-20 07:31:21.368197,0 days 00:00:58.731144,1.8,0.004,0.015,0.015,100000.0,0.0,0,0.0,COMPLETE
16,0.0,2025-08-20 07:31:21.369489,2025-08-20 07:32:20.047782,0 days 00:00:58.678293,2.7,0.017,0.025,0.030000000000000002,100000.0,0.0,0,0.0,COMPLETE
17,0.0,2025-08-20 07:32:20.049083,2025-08-20 07:33:18.981239,0 days 00:00:58.932156,2.4000000000000004,0.010000000000000002,0.01,0.02,100000.0,0.0,0,0.0,COMPLETE
18,0.0,2025-08-20 07:33:18.982579,2025-08-20 07:34:17.441869,0 days 00:00:58.459290,3.0,0.007,0.02,0.034999999999999996,100000.0,0.0,0,0.0,COMPLETE
19,0.0,2025-08-20 07:34:17.443088,2025-08-20 07:35:16.072914,0 days 00:00:58.629826,2.3,0.013000000000000001,0.015,0.01,100000.0,0.0,0,0.0,COMPLETE
20,0.0,2025-08-20 07:35:16.074220,2025-08-20 07:36:14.647019,0 days 00:00:58.572799,2.7,0.018000000000000002,0.005,0.02,100000.0,0.0,0,0.0,COMPLETE
21,0.0,2025-08-20 07:36:14.648289,2025-08-20 07:37:13.412586,0 days 00:00:58.764297,1.2,0.013000000000000001,0.015,0.049999999999999996,100000.0,0.0,0,0.0,COMPLETE
22,0.0,2025-08-20 07:37:13.414024,2025-08-20 07:38:11.862802,0 days 00:00:58.448778,1.7000000000000002,0.014000000000000002,0.02,0.045,100000.0,0.0,0,0.0,COMPLETE
23,0.0,2025-08-20 07:38:11.864099,2025-08-20 07:39:10.780150,0 days 00:00:58.916051,1.5,0.012,0.015,0.04,100000.0,0.0,0,0.0,COMPLETE
24,0.0,2025-08-20 07:39:10.781451,2025-08-20 07:40:10.148516,0 days 00:00:59.367065,1.9,0.009000000000000001,0.01,0.034999999999999996,100000.0,0.0,0,0.0,COMPLETE
25,0.0,2025-08-20 07:40:10.149999,2025-08-20 07:41:09.317707,0 days 00:00:59.167708,1.4,0.004,0.02,0.045,100000.0,0.0,0,0.0,COMPLETE
26,0.0,2025-08-20 07:41:09.319046,2025-08-20 07:42:08.552584,0 days 00:00:59.233538,1.2,0.017,0.025,0.01,100000.0,0.0,0,0.0,COMPLETE
27,0.0,2025-08-20 07:42:08.553851,2025-08-20 07:43:07.692895,0 days 00:00:59.139044,2.2,0.011,0.015,0.025,100000.0,0.0,0,0.0,COMPLETE
28,0.0,2025-08-20 07:43:07.694168,2025-08-20 07:44:06.668381,0 days 00:00:58.974213,1.8,0.015,0.02,0.04,100000.0,0.0,0,0.0,COMPLETE
29,0.0,2025-08-20 07:44:06.669694,2025-08-20 07:45:05.845257,0 days 00:00:59.175563,2.4000000000000004,0.006,0.025,0.045,100000.0,0.0,0,0.0,COMPLETE
30,0.0,2025-08-20 07:45:05.846556,2025-08-20 07:46:05.051340,0 days 00:00:59.204784,1.0,0.003,0.015,0.030000000000000002,100000.0,0.0,0,0.0,COMPLETE
31,0.0,2025-08-20 07:46:05.052758,2025-08-20 07:47:04.249786,0 days 00:00:59.197028,2.6,0.006,0.03,0.04,100000.0,0.0,0,0.0,COMPLETE
32,0.0,2025-08-20 07:47:04.251073,2025-08-20 07:48:03.303967,0 days 00:00:59.052894,2.5,0.005,0.025,0.034999999999999996,100000.0,0.0,0,0.0,COMPLETE
33,0.0,2025-08-20 07:48:03.305300,2025-08-20 07:49:02.359416,0 days 00:00:59.054116,2.1,0.001,0.03,0.045,100000.0,0.0,0,0.0,COMPLETE
34,0.0,2025-08-20 07:49:02.360840,2025-08-20 07:50:01.787105,0 days 00:00:59.426265,2.3,0.012,0.02,0.049999999999999996,100000.0,0.0,0,0.0,COMPLETE
35,0.0,2025-08-20 07:50:01.788381,2025-08-20 07:51:00.879105,0 days 00:00:59.090724,2.7,0.016,0.025,0.04,100000.0,0.0,0,0.0,COMPLETE
36,0.0,2025-08-20 07:51:00.880400,2025-08-20 07:51:59.808775,0 days 00:00:58.928375,2.1,0.009000000000000001,0.01,0.034999999999999996,100000.0,0.0,0,0.0,COMPLETE
37,0.0,2025-08-20 07:51:59.810080,2025-08-20 07:52:58.775727,0 days 00:00:58.965647,1.9,0.003,0.02,0.025,100000.0,0.0,0,0.0,COMPLETE
38,0.0,2025-08-20 07:52:58.777017,2025-08-20 07:53:57.794485,0 days 00:00:59.017468,2.5,0.014000000000000002,0.025,0.01,100000.0,0.0,0,0.0,COMPLETE
39,0.0,2025-08-20 07:53:57.795937,2025-08-20 07:54:56.976975,0 days 00:00:59.181038,2.8,0.016,0.02,0.049999999999999996,100000.0,0.0,0,0.0,COMPLETE
40,0.0,2025-08-20 07:54:56.978293,2025-08-20 07:55:55.976399,0 days 00:00:58.998106,1.6,0.011,0.015,0.02,100000.0,0.0,0,0.0,COMPLETE
41,0.0,2025-08-20 07:55:55.977676,2025-08-20 07:56:54.541528,0 days 00:00:58.563852,2.6,0.012,0.005,0.04,100000.0,0.0,0,0.0,COMPLETE
42,0.0,2025-08-20 07:56:54.542855,2025-08-20 07:57:52.944348,0 days 00:00:58.401493,2.3,0.014000000000000002,0.01,0.030000000000000002,100000.0,0.0,0,0.0,COMPLETE
43,0.0,2025-08-20 07:57:52.945734,2025-08-20 07:58:51.729463,0 days 00:00:58.783729,2.4000000000000004,0.008,0.01,0.034999999999999996,100000.0,0.0,0,0.0,COMPLETE
44,0.0,2025-08-20 07:58:51.730787,2025-08-20 07:59:50.535630,0 days 00:00:58.804843,2.8,0.019000000000000003,0.01,0.005,100000.0,0.0,0,0.0,COMPLETE
45,0.0,2025-08-20 07:59:50.536938,2025-08-20 08:00:49.312313,0 days 00:00:58.775375,2.2,0.002,0.005,0.015,100000.0,0.0,0,0.0,COMPLETE
46,0.0,2025-08-20 08:00:49.313745,2025-08-20 08:01:47.882802,0 days 00:00:58.569057,2.0,0.013000000000000001,0.015,0.045,100000.0,0.0,0,0.0,COMPLETE
47,0.0,2025-08-20 08:01:47.884213,2025-08-20 08:02:46.541463,0 days 00:00:58.657250,2.6,0.010000000000000002,0.02,0.030000000000000002,100000.0,0.0,0,0.0,COMPLETE
48,0.0,2025-08-20 08:02:46.542810,2025-08-20 08:03:45.445949,0 days 00:00:58.903139,3.0,0.015,0.025,0.04,100000.0,0.0,0,0.0,COMPLETE
49,0.0,2025-08-20 08:03:45.447314,2025-08-20 08:04:44.097303,0 days 00:00:58.649989,1.2,0.005,0.015,0.034999999999999996,100000.0,0.0,0,0.0,COMPLETE
